Composition,Temperature,Hardness(HV),Toughness(Mpa.m^(-1/2))
WC- 4Co,1350,1450,10
WC- 4Co,1400,1590,11
WC- 4Co,1450,1775,12.25
WC- 2Co,1350,1465,9
WC- 2Co,1400,1650,10.5
WC- 2Co,1450,1825,11
WC- 12Co,1550,1397,13.7
WC- 12Co,1550,1488,12
WC- 12Co,1550,1363,13.4
WC- 12Co,1550,1466,15.1
WC- 8Co,1400,1900,12.5
WC- 8Co,1400,1750,12.8
WC-4Co,1400,1730,6.9
WC - 6Co,1400,1580,9.6
WC-9Co,1400,1420,12.3
WC-6Co,1400,1780,10.8
WC-8Co,1410,1900,8.5
WC-8Co,1450,1100,21
WC-6Co,1350,1076,16
WC-6Co,1400,1100,14
WC-6Co,1450,1200,17
WC-7Co,1450,1475,12
WC-8Co,1400,1575,16
WC-8Co,1400,1400,14
WC-10Co,1480,1225,16.8
WC-10Co,1480,1200,18.8
WC-10Co,1480,1190,20.3
WC-10Co,1480,1205,17.6
WC-10Co,1480,1260,16.2
WC-8Co,1400,1360,14.8
WC-8Co,1400,1232,14.1
WC-8Co,1400,1273,13.7
WC-8Co,1400,1306,13.5
WC-8Co,1400,1263,12.1
WC-10Co,1430,990,26
WC-10Co,1430,1184,18.3
WC-10Co,1430,1193,19.9
WC-10Co,1430,1330,14.5
WC-10Co,1390,1480,13.5
WC-10Co,1390,1350,14.4
WC-8Co,1400,1750,13
WC-8Co,1400,1700,13.8
WC-8Co,1400,1360,14.2
WC-8Co,1400,1615,14.5
WC-8Co,1400,1600,15.6
WC-12Co,1450,1943,14.4
WC-12Co,1450,1683,18.9
WC-10Co,1450,1067,17.3
WC-10Co,1450,1035,18.2
WC-10Co,1450,1084,19
WC-10Co,1450,1084,18.2
WC-10Co,1450,1101,17.8
WC-10Co,1450,1043,18.3
WC-10Co,1450,1101,18.3
WC-10Co,1450,1027,18.5
WC-10Co,1450,1067,16.6
WC-8Co,1390,1733,14.8
WC-8Co,1390,1728,15.2
WC-8Co,1390,1712,17
WC-8Co,1390,1784,18.3
WC-8Co,1390,1745,18.1
WC-8Co,1390,1768,23.1
WC-8Co,1390,1731,14.8
WC-8Co,1390,1722,15.2
WC-8Co,1390,1708,17
WC-8Co,1390,1755,17.4
WC-8Co,1390,1717,16.7
WC-8Co,1390,1733,21.6
WC-12Co,1400,1575,15.8
WC-18Co,1360,1264,23
WC-18Co,1360,1366,25
WC-18Co,1360,1377,27
WC-9.6Co,1400,1733,10.4
WC-9.6Co,1400,1775,10.1
WC-9.6Co,1400,1804,10.3
WC-9.6Co,1400,1420,14.3
WC-9.6Co,1400,1429,15.1
WC-9.6Co,1400,1430,13.5
WC-9.6Co,1400,1440,13.4
WC-9.6Co,1400,1450,13.7
WC-9.6Co,1400,1460,14.1
WC-9.6Co,1400,1460,14
WC-9.6Co,1400,1469,12.5
WC-9.6Co,1400,1690,10.6
WC-9.6Co,1400,1740,10.5
WC-9.6Co,1400,1742,10.3
WC-9.6Co,1400,1750,10.2
WC-9.6Co,1400,1759,10.2
WC-9.6Co,1400,1420,14.6
WC-9.6Co,1400,1460,14.2
WC-9.6Co,1400,1410,15.8
WC-9.6Co,1400,1420,14.3
WC-9.6Co,1400,1420,13.4
WC-9.6Co,1400,1430,13.5
WC-9.6Co,1400,1450,12.8
WC-9.6Co,1400,1430,15.1
WC-9.6Co,1400,1430,13.8
WC-9.6Co,1400,1440,15.4
WC-9.6Co,1400,1440,13.6
WC-9.6Co,1400,1440,13.4
WC-9.6Co,1400,1470,12.5
WC-3Co,1520,2010,6.8
WC-4.5Co,1480,2110,7.8
WC-11.5Co,1420,1890,9.8
WC-11.5Co,1420,1870,9.7
WC-14.5Co,1400,1750,10.3
WC-15.5Co,1400,1370,15.5
WC-10Co,1350,1415,11.3
WC-10Co,1200,1845,10.2
WC-12Co,1100,2250,15.3
WC-12Co,1200,2200,11.9
WC-8Co,1100,1929,9.4
WC-6Co,1000,2361,8.2
WC-6Co,1100,2187,8.7
WC-10Co,1100,1936,9.6
WC-6Co,1500,2025,9.2
WC-9.1Co,1150,1992,11.9
WC-9.1Co,1150,1824,13.2
WC-10Co,1215,1780,11.1
WC-10Co,1215,1813,11
WC-10Co,1215,1884,11.5
WC-10Co,1215,1904,12.4
WC-10Co,1200,1886,13.5
WC-10Co,1200,1776,10.6
WC-10Co,1370,1756,11.6
WC-8Co,1370,1810,10.5
WC-12Co,1370,1633,12.2
WC-12Co,1240,1602,9.7
WC-10Co,1300,1441,13
WC-10Co,1300,1326,13
WC-10Co,1150,2050,11.3
WC-7.5Co,1350,1806,8.4
WC-7.5Co,1350,1817,11.4
WC-7.5Co,1350,1927,19.7
WC-6Co,1280,2179,8.8
WC-6Co,1280,2181,8.7
WC-6Co,1280,2167,8.9
WC-6Co,1280,2167,9
WC-6Co,1280,2159,8.9
WC-6Co,1280,2181,8.8
WC-11Co,1200,1828,12.2
WC-10Co,1150,1724,12
WC-10Co,1150,1976,13.3
WC-10Co,1180,1836,12.9
WC-10Co,1180,1608,14
WC-10Co,1000,1741,11.8
WC-12Co,1240,1601,9.3
WC-12Co,1000,1472,10
WC-12Co,1050,1512,9.6
WC-12Co,1100,1450,10.9
WC-11Co,1200,1827,11.5
WC-6Co,1380,1110,15.6
WC-6Co,1380,1433,12.8
WC-6Co,1380,1578,10.6
WC-7Co,1380,1592,8.3
WC-16Co,1380,1127,15.1
WC-10Co,1380,1173,12.7
WC-10Co,1380,1523,8.6
WC-13Co,1380,1127,17.2
WC-14Co,1380,1173,15.1
WC-16Co,1380,1043,13.5
WC-18Co,1380,1101,12.8
WC-10Co,1380,1183,11.6
WC-6Co,1380,1110,15.6
WC-6Co,1380,1373,12.8
WC-10Co,1380,1333,13.5
WC-14.5Co,1400,1650,9.4
WC-15.5Co,1400,1270,14.5
WC-4.5Co,1480,2090,7.1
WC-11.5Co,1420,1800,8.9
85WC-15Co,1350,1868,8.1
87WC-13Co,1350,1820,8.3
93WC-7Co,1350,2154,8.4
WC-12Co,1420,1326,12.5
WC-12Co,1400,1381,17.3
WC-12Co,1450,1386,13.5
WC-12Co,1450,1370,14
WC-12Co,1400,1630,10.2
WC-12Co,1400,1480,12.2
WC-12Co,1400,1675,10.8
WC-15Co,1350,1417,10.2
WC-15Co,1400,1416,9.5
WC-7Co,1380,1456,11.2
WC-7Co,1430,1447,11.3
WC-7Co,1430,1435,11.5
WC-7Co,1380,1363,12.8
WC-7Co,1430,1357,14
WC-7Co,1430,1347,13.7
WC-6Co,1450,996,16.9
WC-6Co,1450,1155,14.3
WC-6Co,1450,1164,17.8
WC-10Co,1500,1910,8.1
WC-7Co,1450,1476,12.1
WC-10Co,1430,968,8.1
WC-10Co,1430,1425,12.1
WC-10Co,1390,1471,11.5
WC-12Co,1400,1420,14.3
WC-10Co,1350,1362,14.2
WC-12Co,1400,1381,17.3
WC-12Co,1100,1800,10.7
WC-8Co,1400,1380,12.4
